#,question,a,b,c,d,correct_answer,category
1,Η έννοια της απαγόρευσης των βασανιστηρίων (άρθρο 7 παρ. 2 Συντ.) περιλαμβάνει:,"Την απαγόρευση των βασανιστηρίων, της οποιασδήποτε σωματικής κάκωσης, της βλάβης υγείας, της άσκησης ψυχολογικής βίας και κάθε άλλης προσβολής της ανθρώπινης αξιοπρέπειας",Την απαγόρευση μόνο των βασανιστηρίων,Την απαγόρευση μόνο της οποιασδήποτε σωματικής κάκωσης,Πρόκειται για κατευθυντήρια διάταξη μη έχουσα νομικό-δεσμευτικό περιεχόμενο,0,Συνταγματικό Δίκαιο
2,Το άρθρο 4 παρ. 4 Συντ. σύμφωνα με το οποίο «μόνο Έλληνες πολίτες είναι δεκτοί σε όλες τις δημόσιες λειτουργίες εκτός από τις εξαιρέσεις που εισάγονται με ειδικούς νόμους»:,Αναθεωρείται,Δεν αναθεωρείται,Αναθεωρείται μερικώς,Συμπληρώνεται από το Ευρωπαϊκό Δίκαιο αν και δεν αναθεωρείται,3,Συνταγματικό Δίκαιο
3,Το δικαίωμα ίδρυσης και συμμετοχής σε πολιτικό κόμμα:,Είναι κοινωνικό δικαίωμα,Είναι πολιτικό δικαίωμα,Είναι ατομικό δικαίωμα,Είναι ατομικό και πολιτικό δικαίωμα συγχρόνως,1,Συνταγματικό Δίκαιο
4,Πώς νοείται ο όρος «κατοικία» στο άρθρο 9 Συντ. περί προστασίας του ασύλου της κατοικίας;,Μόνο η κατοικία που κατέχει κάποιος νόμιμα,Περιορίζεται σε ακίνητα των οποίων ο/η αιτών/ούσα είναι ιδιοκτήτης/τρια ή ενοικιαστής/στρια,Περιορίζεται σε ακίνητα των οποίων ο/η αιτών/ούσα είναι ιδιοκτήτης/τρια,"Περιλαμβάνει κάθε είδος χώρου, ανοικτού ή κλειστού, περιφραγμένου οικοπέδου ή αυλής, κινητού πράγματος, κυρίου και βοηθητικού υπό την προϋπόθεση ότι είναι περίκλειστος και η είσοδός του δεν είναι ελεύθερη",3,Συνταγματικό Δίκαιο
5,Το δικαίωμα δικαστικής προστασίας περιλαμβάνει:,Το δικαίωμα δωρεάν πρόσβασης σε δικαστήριο,Το δικαίωμα αποτελεσματικής δικαστικής προστασίας,Το δικαίωμα απευθείας προσβολής των αντισυνταγματικών νόμων στο Συμβούλιο της Επικρατείας,Καμία από τις λοιπές απαντήσεις,1,Συνταγματικό Δίκαιο
6,Είναι συνταγματική:,Η προηγούμενη διοικητική άδεια για την ίδρυση σωματείου,Η προηγούμενη διοικητική άδεια για τη διεξαγωγή συνάθροισης,Η κατάργηση του δημόσιου χαρακτήρα της εκπαίδευσης,Η υποχρέωση λήψης προηγούμενης άδειας για την άσκηση επαγγελματικής δραστηριότητας,3,Συνταγματικό Δίκαιο
7,Τα ατομικά (αμυντικά) δικαιώματα προϋποθέτουν:,Την αποχή του Κράτους,Την παροχή του Κράτους,Τη συλλογική δράση,Την επικράτηση της βούλησης της πλειοψηφίας,0,Συνταγματικό Δίκαιο
8,Το δικαίωμα στην ιδιωτική ζωή:,Αναγνωρίζεται κατ’ αρχήν και στα δημόσια πρόσωπα,Δεν εφαρμόζεται στο διαδίκτυο,Δεν μπορεί να περιοριστεί,Είναι μόνο νομοθετικά κατοχυρωμένο,0,Συνταγματικό Δίκαιο
9,Οι περιορισμοί των ατομικών δικαιωμάτων:,Επιβάλλονται από τον νόμο ή/και βάσει νόμου,Οδηγούν σε αναστολή τους,Είναι ελεύθεροι σε περίοδο πανδημίας,Δεν επιτρέπονται σε καμία περίπτωση,0,Συνταγματικό Δίκαιο
10,Τα ατομικά δικαιώματα αφορούν στην αξίωση των πολιτών:,Να μπορούν να επιλέξουν την αναρχία,Το κράτος να τους παρέχει την ελευθερία τους,Το κράτος να τους προστατεύει από εξωτερικούς και εσωτερικούς κινδύνους,"Το κράτος να μην προσβάλλει την ελευθερία τους να διαμορφώνουν ελεύθερα την προσωπικότητά τους, ως άτομα και ως μέλη της κοινωνίας",3,Συνταγματικό Δίκαιο
